aip,entity,


urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q496946, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q11028, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q5264406, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q753297, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q121769, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q42848, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q496946, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q6422240, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q1022867, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q339, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q22983, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q11563, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q5264406, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q11563, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q1071027, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q5264406, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q5264406, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q5155473, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q334401, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q190686, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q753297, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q5155473, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q14620, 
